student_id,course_id,chapter_order,time_spent,score,completion_status
S001,C3,1,53.2,60.8,1
S001,C3,2,27.0,100.0,1
S001,C3,3,43.6,56.1,1
S001,C3,4,31.7,63.8,1
S001,C3,5,37.8,72.5,1
S001,C3,6,48.5,71.8,1
S001,C3,7,66.9,93.1,1
S001,C3,8,8.4,79.1,1
S002,C3,1,35.6,79.0,1
S002,C3,2,83.4,75.9,1
S002,C3,3,46.8,62.3,1
S002,C3,4,36.0,84.2,1
S002,C3,5,49.4,60.5,1
S002,C3,6,29.7,67.6,1
S002,C3,7,37.0,69.9,1
S002,C3,8,41.6,75.8,1
S003,C2,1,49.8,49.1,1
S003,C2,2,12.3,54.3,1
S003,C2,3,47.6,74.9,1
S003,C2,4,56.2,42.5,1
S003,C2,5,53.5,70.4,1
S003,C2,6,52.1,79.9,1
S003,C2,7,80.1,86.1,1
S003,C2,8,46.4,76.3,1
S004,C1,1,53.7,83.3,0
S004,C1,2,52.1,89.6,0
S004,C1,3,32.4,65.4,0
S004,C1,4,42.5,87.5,0
S004,C1,5,42.3,63.8,0
S004,C1,6,59.3,95.9,0
S004,C1,7,43.9,85.1,0
S004,C1,8,31.0,81.8,0
S005,C3,1,35.8,75.0,0
S005,C3,2,23.7,85.6,0
S005,C3,3,33.3,76.4,0
S005,C3,4,67.2,62.2,0
S005,C3,5,47.0,79.1,0
S005,C3,6,52.5,87.4,0
S005,C3,7,22.8,66.6,0
S005,C3,8,46.5,84.5,0
S006,C3,1,34.5,65.1,1
S006,C3,2,39.1,48.0,1
S006,C3,3,49.4,73.9,1
S006,C3,4,45.1,66.5,1
S006,C3,5,23.8,63.7,1
S006,C3,6,39.9,58.0,1
S006,C3,7,42.6,76.1,1
S006,C3,8,73.3,72.6,1
S007,C1,1,32.3,57.7,0
S007,C1,2,16.2,69.6,0
S007,C1,3,44.0,75.2,0
S007,C1,4,52.2,66.1,0
S007,C1,5,50.1,99.6,0
S007,C1,6,62.1,81.3,0
S007,C1,7,55.9,60.7,0
S007,C1,8,66.1,90.9,0
S008,C3,1,37.6,83.8,0
S008,C3,2,56.8,76.5,0
S008,C3,3,21.7,71.0,0
S008,C3,4,51.4,33.0,0
S008,C3,5,39.2,56.7,0
S008,C3,6,48.1,48.3,0
S008,C3,7,57.2,51.5,0
S008,C3,8,45.2,75.7,0
S009,C2,1,45.9,77.5,1
S009,C2,2,42.8,72.7,1
S009,C2,3,59.5,54.0,1
S009,C2,4,46.6,71.6,1
S009,C2,5,58.8,66.6,1
S009,C2,6,54.8,86.5,1
S009,C2,7,17.3,87.5,1
S009,C2,8,30.2,53.6,1
S010,C2,1,27.1,79.8,1
S010,C2,2,30.4,81.8,1
S010,C2,3,62.4,57.7,1
S010,C2,4,59.5,76.2,1
S010,C2,5,57.3,98.5,1
S010,C2,6,41.3,58.7,1
S010,C2,7,31.7,57.8,1
S010,C2,8,43.8,75.1,1
S011,C2,1,16.0,57.3,1
S011,C2,2,65.5,87.6,1
S011,C2,3,39.4,77.6,1
S011,C2,4,86.8,69.5,1
S011,C2,5,44.8,72.9,1
S011,C2,6,54.1,64.8,1
S011,C2,7,54.1,40.8,1
S011,C2,8,50.0,70.8,1
S012,C3,1,35.9,57.8,0
S012,C3,2,48.2,51.3,0
S012,C3,3,27.8,90.8,0
S012,C3,4,60.9,70.8,0
S012,C3,5,51.7,96.7,0
S012,C3,6,52.7,77.7,0
S012,C3,7,34.0,72.9,0
S012,C3,8,66.6,70.1,0
S013,C2,1,40.3,81.4,1
S013,C2,2,33.4,66.4,1
S013,C2,3,37.7,71.2,1
S013,C2,4,79.7,42.0,1
S013,C2,5,55.3,45.8,1
S013,C2,6,37.9,86.3,1
S013,C2,7,46.0,53.8,1
S013,C2,8,34.3,80.2,1
S014,C1,1,39.1,76.6,1
S014,C1,2,70.0,58.9,1
S014,C1,3,43.4,62.7,1
S014,C1,4,68.9,63.5,1
S014,C1,5,34.0,61.3,1
S014,C1,6,43.0,58.1,1
S014,C1,7,39.5,72.4,1
S014,C1,8,43.3,82.5,1
S015,C2,1,49.1,100.0,0
S015,C2,2,76.8,85.5,0
S015,C2,3,46.3,61.1,0
